Energy_au,Total_Free,p1/2_Free,p3/2_Free,Total_Confined,p1/2_Confined,p3/2_Confined,Total_Plasma_mu_0.1,p1/2_Plasma_mu_0.1,p3/2_Plasma_mu_0.1,Total_Plasma_mu_0.2,p1/2_Plasma_mu_0.2,p3/2_Plasma_mu_0.2,Total_Plasma_mu_0.3,p1/2_Plasma_mu_0.3,p3/2_Plasma_mu_0.3,Total_Plasma_mu_0.5,p1/2_Plasma_mu_0.5,p3/2_Plasma_mu_0.5,Total_Hybrid_mu_0.1,p1/2_Hybrid_mu_0.1,p3/2_Hybrid_mu_0.1,Total_Hybrid_mu_0.2,p1/2_Hybrid_mu_0.2,p3/2_Hybrid_mu_0.2,Total_Hybrid_mu_0.3,p1/2_Hybrid_mu_0.3,p3/2_Hybrid_mu_0.3,Total_Hybrid_mu_0.4,p1/2_Hybrid_mu_0.4,p3/2_Hybrid_mu_0.4,Total_Hybrid_mu_0.5,p1/2_Hybrid_mu_0.5,p3/2_Hybrid_mu_0.5
0.024545454545454547,0.19805970059352285,0.06601990019784094,0.1320398003956819,0.18638261173427556,0.062127537244758516,0.12425507448951703,0.3213848606278672,0.10712828687595573,0.21425657375191146,0.49852814701356046,0.16617604900452015,0.3323520980090403,0.7334852677323029,0.24449508924410096,0.4889901784882019,0.2696013700896477,0.0898671233632159,0.1797342467264318,0.4453404870240818,0.14844682900802728,0.29689365801605455,0.34942260882680765,0.1164742029422692,0.2329484058845384,0.16947647206495323,0.05649215735498441,0.11298431470996882,0.14383156741985223,0.04794385580661741,0.09588771161323482,0.1538682144411285,0.0512894048137095,0.102578809627419
0.02545454545454546,0.19714268829313886,0.06571422943104628,0.13142845886209256,0.18527805633801048,0.061759352112670154,0.12351870422534031,0.3196117947405094,0.10653726491350313,0.21307452982700625,0.49554940328771613,0.1651831344292387,0.3303662688584774,0.7274126422964369,0.24247088076547896,0.4849417615309579,0.2803136549820132,0.0934378849940044,0.1868757699880088,0.4400586094879603,0.14668620316265343,0.29337240632530687,0.3564202353406994,0.11880674511356647,0.23761349022713293,0.17389900905812902,0.057966336352709674,0.11593267270541935,0.14648470619572568,0.048828235398575226,0.09765647079715045,0.15544804358770725,0.05181601452923575,0.1036320290584715
0.026363636363636367,0.19623134128393427,0.06541044709464476,0.13082089418928952,0.18418976929256503,0.06139658976418834,0.12279317952837668,0.31785015483495155,0.10595005161165051,0.21190010322330102,0.49253692605464483,0.16417897535154827,0.32835795070309653,0.7211995950211703,0.24039986500705676,0.4807997300141135,0.29081081511775575,0.09693693837258524,0.19387387674517048,0.43484862216345044,0.14494954072115016,0.2898990814423003,0.3632311955606815,0.12107706518689385,0.2421541303737877,0.17828982640439464,0.059429942134798214,0.11885988426959643,0.14909501358142954,0.04969833786047651,0.09939667572095302,0.15697877323684972,0.052326257745616576,0.10465251549123315
0.027272727272727275,0.19532560538741672,0.0651085351291389,0.1302170702582778,0.18311737671497194,0.06103912557165731,0.12207825114331462,0.3161038816836066,0.10536796056120219,0.21073592112240438,0.4895083255076348,0.16316944183587825,0.3263388836717565,0.7149030078480539,0.23830100261601797,0.47660200523203594,0.30108769737070934,0.10036256579023645,0.2007251315804729,0.4296767857243507,0.14322559524145023,0.28645119048290046,0.3698618807433601,0.12328729358112003,0.24657458716224007,0.18265570457905306,0.060885234859684355,0.12177046971936871,0.1516746006071882,0.05055820020239607,0.10111640040479214,0.1584748326210722,0.05282494420702407,0.10564988841404814
0.028181818181818183,0.1944254559601793,0.06480848532005977,0.12961697064011954,0.18206051434268444,0.06068683811422815,0.1213736762284563,0.31437565488632774,0.10479188496210924,0.20958376992421848,0.48646545527164436,0.1621551517572148,0.3243103035144296,0.7085639648629997,0.23618798828766654,0.4723759765753331,0.3111237783891272,0.10370792612970905,0.2074158522594181,0.4245695074228368,0.1415231691409456,0.2830463382818912,0.37628837812063765,0.12542945937354588,0.25085891874709176,0.18699734004046104,0.062332446680153676,0.12466489336030735,0.15422399915297705,0.05140799971765902,0.10281599943531804,0.15993273806675626,0.05331091268891875,0.1066218253778375
0.02909090909090909,0.19353082492446788,0.06451027497482263,0.12902054994964526,0.18101882743139067,0.060339609143796887,0.12067921828759377,0.3126570790616512,0.10421902635388373,0.20843805270776747,0.48341094057316736,0.1611369801910558,0.3222739603821116,0.7022338856192128,0.23407796187307095,0.4681559237461419,0.3209180565320737,0.10697268551069125,0.2139453710213825,0.4195334900543377,0.13984449668477925,0.2796889933695585,0.382530821203643,0.12751027373454768,0.25502054746909536,0.1913183288891298,0.06377277629637661,0.12754555259275321,0.15674795480524048,0.052249318268413496,0.10449863653682699,0.1613620828705728,0.0537873609568576,0.1075747219137152
0.030000000000000006,0.1926416986111661,0.06421389953705536,0.12842779907411073,0.17999197019618235,0.05999732339872745,0.1199946467974549,0.3109529457769701,0.1036509819256567,0.2073019638513134,0.4803598030165647,0.1601199343388549,0.3202398686777098,0.6959320334213962,0.23197734447379872,0.46395468894759745,0.3304599065529318,0.11015330218431059,0.22030660436862118,0.41455715582852587,0.13818571860950862,0.27637143721901725,0.38856833358018883,0.12952277786006294,0.2590455557201259,0.19562388695834065,0.06520796231944688,0.13041592463889376,0.1592505350876697,0.0530835116958899,0.1061670233917798,0.16276806354147497,0.05425602118049166,0.10851204236098332
0.030909090909090914,0.19175800338261834,0.06391933446087278,0.12783866892174556,0.1789796059606768,0.059659868653558934,0.11931973730711787,0.3092631236061085,0.10308770786870285,0.2061754157374057,0.47730258783163637,0.15910086261054546,0.3182017252210909,0.6897003717452401,0.22990012391508005,0.4598002478301601,0.33974520293969956,0.11324840097989985,0.2264968019597997,0.4096478280182778,0.1365492760060926,0.2730985520121852,0.3944054145482523,0.1314684715160841,0.2629369430321682,0.19991634632989103,0.06663878210996367,0.13327756421992734,0.1617363691959121,0.05391212306530404,0.10782424613060808,0.1641535582277424,0.05471785274258081,0.10943570548516161
0.03181818181818182,0.19087973004946615,0.06362657668315538,0.12725315336631077,0.17798140641224128,0.05932713547074709,0.11865427094149418,0.30758984851230475,0.10252994950410159,0.20505989900820318,0.474261998102669,0.15808733270088968,0.31617466540177935,0.6835058167188962,0.22783527223963207,0.45567054447926414,0.34877028668841104,0.11625676222947035,0.2325135244589407,0.40480267281330423,0.1349342242711014,0.2698684485422028,0.40003677562759343,0.13334559187586448,0.26669118375172896,0.20419748040964142,0.06806582680321381,0.13613165360642762,0.16420802682228336,0.054736008940761124,0.10947201788152225,0.1655224159243465,0.05517413864144883,0.11034827728289766
0.03272727272727273,0.1900068036110188,0.06333560120367293,0.12667120240734586,0.17699705187692324,0.05899901729230775,0.1179980345846155,0.30592511121328425,0.10197503707109475,0.2039500741421895,0.4712315618957195,0.15707718729857317,0.31415437459714635,0.6774058802690934,0.22580196008969783,0.45160392017939566,0.3575284574426649,0.11917615248088831,0.23835230496177662,0.40003013179522484,0.13334337726507495,0.2666867545301499,0.40545513017048923,0.13515171005682974,0.2703034201136595,0.20846844711920143,0.06948948237306714,0.13897896474613428,0.16666668299976406,0.05555556099992136,0.11111112199984272,0.16687734675016053,0.05562578225005351,0.11125156450010702
