Radius_au,Free,Confined,Plasma_mu_0.1,Plasma_mu_0.2,Plasma_mu_0.3,Plasma_mu_0.5,Hybrid_mu_0.1,Hybrid_mu_0.2,Hybrid_mu_0.3,Hybrid_mu_0.4,Hybrid_mu_0.5
41.67694921153525,2.4980603185179445e-18,3.560704822182444e-18,8.557688620951218e-15,1.0306849856696527e-10,2.9030612937196967e-06,0.18698480583995614,1.2365373960089411e-14,1.2686819918967228e-10,6.347507592492599e-07,6.123530840275766e-05,0.00036356565067731123
41.6869508768128,2.471862769832281e-18,3.523284786325382e-18,8.486835012436999e-15,1.0247172246376631e-10,2.8941340099609245e-06,0.18694212747827693,1.2262417081870962e-14,1.2611579726089995e-10,6.323675486034597e-07,6.108032268988724e-05,0.0003628317108603462
41.696952542090344,2.4459398345272696e-18,3.4862578268632985e-18,8.416568021786415e-15,1.0187840218712438e-10,2.8852342005700903e-06,0.18689936653220723,1.2160317422065042e-14,1.2536785803825924e-10,6.299932900602204e-07,6.092572967944276e-05,0.00036209925318210154
41.70695420736789,2.420288635356321e-18,3.4496198166923926e-18,8.346882792390015e-15,1.0128851772213592e-10,2.8763617809010507e-06,0.18685652301031616,1.2059067843724675e-14,1.2462435504873491e-10,6.276279499736296e-07,6.077152837413822e-05,0.00036136827463054973
41.71695587264544,2.3949063252041006e-18,3.413366672020039e-18,8.277774507844428e-15,1.0070204916983467e-10,2.8675166665687676e-06,0.1868135969212216,1.1958661269320407e-14,1.238852619763737e-10,6.252714948243146e-07,6.061771777922543e-05,0.00036063877219980034
41.726957537922985,2.3697900867711556e-18,3.3774943519105026e-18,8.209238391619552e-15,1.0011897674651983e-10,2.8586987734485043e-06,0.18677058827358986,1.1859090680245663e-14,1.2315055266135253e-10,6.229238912189659e-07,6.046429690248758e-05,0.00035991074289008746
41.736959203200534,2.3449371322618293e-18,3.341998857835413e-18,8.14126970672845e-15,9.953928078308834e-11,2.849908017675018e-06,0.1867274970761359,1.1760349116326223e-14,1.2242020109905194e-10,6.205851058898635e-07,6.03112647542327e-05,0.00035918418370775704
41.74696086847808,2.3203447030754522e-18,3.3068762332289536e-18,8.073863755400025e-15,9.896294172437102e-11,2.841144315641761e-06,0.1866843233376234,1.1662429675333786e-14,1.2169418143913532e-10,6.182551056944032e-07,6.015862034728727e-05,0.0003584590916652547
41.756962533755626,2.2960100695007547e-18,3.2721225630477125e-18,8.007015878754376e-15,9.838994012847232e-11,2.83240758400008e-06,0.18664106706686462,1.1565325512503552e-14,1.2097246798463305e-10,6.159338576146265e-07,6.0006362696989766e-05,0.0003577354637811127
41.76696419903317,2.271930530413482e-18,3.2377339733351437e-18,7.940721456480844e-15,9.78202566661142e-11,2.8236977396584183e-06,0.18659772827272036,1.1469029840055863e-14,1.2025503519103275e-10,6.13621328756751e-07,5.985449082118426e-05,0.0003570132970799379
