Energy_au,Sigma_Total_au,Sigma_Mb,Dipole_Sq_au
0.8148654327163583,0.00020616234465611804,0.005773122904936342,0.0026723095295458025
0.8155152576288144,0.00020536525929340505,0.005750802282941363,0.002660901421818847
0.8161650825412706,0.00020456822607651227,0.005728483121175358,0.002649503209661933
0.8168149074537269,0.00020377127269840926,0.005706166195119015,0.00263811523960903
0.8174647323661831,0.00020297442833564974,0.005683852321797533,0.002626737876833811
0.8181145572786392,0.00020217772335670407,0.005661542351613113,0.0026153715013390233
0.8187643821910955,0.00020138118886988614,0.005639237155685648,0.0026040165020809135
0.8194142071035517,0.00020058485615301948,0.005616937609881774,0.0025926732695792853
0.820064032016008,0.00019978875600952457,0.005594644576783515,0.002581342187594766
0.8207138569284642,0.00019899291810668106,0.005572358887157769,0.0025700236245959776
0.8213636818409205,0.00019819737035560344,0.005550081322593892,0.0025587179257858593
0.8220135067533767,0.00019740213839048479,0.005527812600921067,0.002547425406428271
0.8226633316658329,0.0001966072451896626,0.0055055533655970846,0.002536146347020162
0.8233131565782892,0.00019581271089023732,0.005483304180517137,0.0025248809909711317
0.8239629814907454,0.00019501855280387744,0.005461065530456419,0.0025136295448817195
0.8246128064032017,0.00019422478565465164,0.005438837827730079,0.002502392181681616
0.8252626313156578,0.00019343142202316488,0.005416621424630281,0.0024911690464172686
0.825912456228114,0.00019263847297347635,0.005394416630981664,0.0024799602643786004
0.8265622811405703,0.00019184594881633063,0.005372223735513944,0.0024687659509602966
0.8272121060530265,0.00019105385996434523,0.005350043029809567,0.0024575862226822146
0.8278619309654827,0.00019026221780631765,0.005327874832786752,0.002446421208429097
0.8285117558779389,0.00018947103554569185,0.0053057195141788995,0.002435271060202592
0.8291615807903951,0.00018868032892759457,0.005283577514893645,0.0024241359624157695
0.8298114057028514,0.0001878901168063798,0.005261449362905692,0.0024130161391169845
0.8304612306153076,0.00018710042149820726,0.005239335683129998,0.0024019118584367445
0.8311110555277639,0.00018631126888920237,0.005217237200450556,0.002390823433887417
0.8317608804402201,0.0001855226882828154,0.005195154735446023,0.0023797512223144427
0.8324107053526764,0.0001847347119818263,0.0051730891926846856,0.0023686956184500617
0.8330605302651326,0.00018394737463747995,0.005151041542498424,0.0023576570464954147
0.8337103551775888,0.00018316071239299396,0.005129012796998531,0.0023466359490883493
0.8343601800900451,0.00018237476188300014,0.005107003982057276,0.0023356327744526585
0.8350100050025012,0.00018158955914852586,0.00508501610692434,0.0023246479624968843
0.8356598299149575,0.00018080513854791945,0.005063050133729679,0.0023136819308945174
0.8363096548274137,0.00018002153172717045,0.005041106948649609,0.002302735061957283
0.83695947973987,0.0001792387667345841,0.005019187337115212,0.0022918076913856023
0.8376093046523261,0.00017845686733331824,0.004997291964561445,0.0022809000995749054
0.8382591295647823,0.0001776758525686022,0.004975421364308053,0.002270012506196584
0.8389089544772386,0.0001768957366221841,0.004953575933483697,0.002259145068460117
0.8395587793896948,0.00017611652897116286,0.00493175593747368,0.0022482978832651115
0.840208604302151,0.00017533823484814785,0.0049099615228057145,0.002237470993193408
0.8408584292146073,0.000174560855973209,0.004888192737646577,0.002226664395953785
0.8415082541270635,0.00017378439152167046,0.004866449558903033,0.0022158780568113014
0.8421580790395198,0.00017300883926133382,0.004844731924067279,0.0022051119231464612
0.842807903951976,0.0001722341967937709,0.004823039765976608,0.0021943659403055736
0.8434577288644323,0.00017146046281454926,0.00480137304810326,0.002183640067654434
0.8441075537768885,0.00017068763831396965,0.004779731798178429,0.0021729342938364357
0.8447573786893448,0.00016991572763912547,0.004758116137932903,0.002162248650229598
0.8454072036018009,0.0001691447393481053,0.004736526307017123,0.0021515832217275307
0.8460570285142571,0.00016837468679485455,0.004714962679378953,0.0021409381540699835
0.8467068534267134,0.0001676055884084465,0.004693425771084046,0.0021303136572718047
0.8473566783391695,0.00016683746764423099,0.004671916238947872,0.002119710004874875
0.8480065032516257,0.0001660703526073675,0.00465043486999359,0.0021091275290410394
0.848656328164082,0.00016530427536691597,0.004628982562244675,0.002098566611728265
0.8493061530765382,0.00016453927100839322,0.0046075602981938335,0.002088027672568864
0.8499559779889945,0.0001637753764775427,0.004586169112425333,0.002077511154128011
0.8506058029014507,0.00016301262928707775,0.004564810055400181,0.002067017505459744
0.851255627813907,0.00016225106617399928,0.004543484155857267,0.0020565471650755133
0.8519054527263632,0.00016149072178125794,0.00452219238389621,0.002046100544261572
